name,city,country,gender
Janice Young,Nueva Requena,Peru,F
Walter Ferguson,Marston,United Kingdom,M
Sara Gibson,Erjiegou,China,F
Ronald Brooks,Lughaye,Somalia,M
Carlos Cunningham,‘Ayn an Nasr,Syria,M
Betty Harrison,Hamburg Bramfeld,Germany,F
Anne Carr,Hwacheon,South Korea,F
Christina Perry,Monteros,Argentina,F
Emily Jordan,Woerden,Netherlands,F
Susan Little,Buenavista,Mexico,F
Keith Mendoza,Badulla,Sri Lanka,M
Martin Stephens,Breia,Portugal,M
Larry Mitchell,Cipolletti,Argentina,M
Antonio Arnold,Manzherok,Russia,M
Karen Freeman,Lastoursville,Gabon,F
Irene Green,Wuyang,China,F
Alice Duncan,Álli Meriá,Greece,F
Carolyn Long,Concepción de Ataco,El Salvador,F
Willie Hawkins,Hetai,China,M
Ronald Hall,Storozhnytsya,Ukraine,M
Andrew Owens,Hongshi,China,M
Susan Garcia,Konstantinovsk,Russia,F
Anna Green,Vaitogi,American Samoa,F
Kathryn Turner,Barbacena,Brazil,F
Margaret Daniels,Ekou,China,F
Tina Wheeler,Changuinola,Panama,F
Keith Mccoy,Yangshuo,China,M
Carolyn Olson,Kutamandarakan,Indonesia,F
Albert Barnes,Halmstad,Sweden,M
Martha Hunter,Giồng Riềng,Vietnam,F
Albert Frazier,Dunkerque,France,M
Gary Murray,Smedjebacken,Sweden,M
Lois Hill,Vangaži,Latvia,F
Ryan Armstrong,Magisterial,Mexico,M
Stephanie Shaw,Lianzhou,China,F
Thomas Cunningham,Figueiras,Portugal,M
Christopher Moreno,Rrapë,Albania,M
Phillip Day,Deauville,France,M
Anne Nichols,Krajan Siki,Indonesia,F
Martin Henry,Pskov,Russia,M
Brian Barnes,Jimaguayú,Cuba,M
Joshua Moore,Suure-Jaani,Estonia,M
Martha Rodriguez,Wichita,United States,F
Janice Murphy,Karangsuko,Indonesia,F
Jeremy Stevens,Tangcun,China,M
Amanda Jones,Quetigny,France,F
Janet Duncan,Sangmu,China,F
Benjamin Sanchez,Bone South,Philippines,M
Edward Hart,Jongorsari,Indonesia,M
Gregory Oliver,Nantes,France,M
Margaret Weaver,Banjar Medura,Indonesia,F
Denise Lee,Nancang,China,F
Brian Gonzales,Rogóźno,Poland,M
Gloria Shaw,Damietta,Egypt,F
Bonnie Lynch,Casal de São João,Portugal,F
Tammy Gibson,Cigebrok,Indonesia,F
Melissa Gray,San Isidro,Mexico,F
Gary Mills,Verona,Italy,M
Michelle Gibson,København,Denmark,F
Ryan Williamson,Mora,Sweden,M
Lisa Ortiz,Washington,United States,F
Gloria Mills,Tallkalakh,Syria,F
James Dean,São Mateus,Portugal,M
Deborah Harvey,Pomar,Portugal,F
Nicholas Dunn,Namwala,Zambia,M
Diana Meyer,Janikowo,Poland,F
Steven Mills,Chorente,Portugal,M
Harold Price,Boyang,China,M
Jacqueline Larson,Terjan,Indonesia,F
Raymond Fox,Xingdian,China,M
Roy Garcia,Malibago,Philippines,M
Jacqueline Ford,Finiq,Albania,F
Sean Boyd,Michałów,Poland,M
Jesse Austin,Podgornoye,Russia,M
Daniel Gardner,Ruoqiang,China,M
Janet Grant,Cauto Cristo,Cuba,F
Maria Wilson,Bacacay,Philippines,F
Douglas George,Miskindzha,Russia,M
Adam Watkins,Saarbrücken,Germany,M
Joe Peters,Juexi,China,M
Janice Parker,Rudziczka,Poland,F
Kathryn Oliver,Krebetkrajan,Indonesia,F
Nicholas Porter,Tanshi,China,M
Norma Kennedy,San Lorenzo,Guatemala,F
Jose Morgan,Ferbane,Ireland,M
Helen Martinez,Caeté,Brazil,F
Carl Bradley,Pehčevo,Macedonia,M
Jacqueline Dunn,Mingoyo,Tanzania,F
Matthew Gutierrez,Budzów,Poland,M
Antonio Williamson,Przodkowo,Poland,M
Norma Wilson,Philadelphia,United States,F
Kevin Little,Orguz,Bosnia and Herzegovina,M
Jessica Arnold,Taipingzhuang,China,F
Tammy Cruz,Xiangrong,China,F
Charles Chapman,Vel’sk,Russia,M
Aaron Garrett,Cingambul,Indonesia,M
Michael Fox,Punta Gorda,Belize,M
Katherine Spencer,Chapultepec,Mexico,F
Antonio Cox,Qingban,China,M
Bobby Olson,Youghal,Ireland,M
Ernest Gonzales,Getafe,Spain,M
Kathryn Gibson,Huya,China,F
Christine Frazier,Pampas,Peru,F
Billy Ramos,Labog,Philippines,M
Kimberly Schmidt,Mitsukaidō,Japan,F
Diane Jackson,Komsomolets,Kazakhstan,F
Bobby Gordon,Bol’shoy Kamen’,Russia,M
Todd White,Pindi Bhattiān,Pakistan,M
Carlos Alvarez,Ichupampa,Peru,M
Justin Crawford,Maiwal,Indonesia,M
Carol Arnold,Jiabei,China,F
Alice Romero,Bobigny,France,F
Jonathan Fields,Le Raincy,France,M
Kimberly Tucker,Wudan,China,F
Dorothy Gonzales,Kamen’-na-Obi,Russia,F
Evelyn Collins,Wuyang,China,F
Benjamin Greene,Manzini,Swaziland,M
Gregory Bennett,Shilong,China,M
Raymond Johnson,Chengdong,China,M
Howard Nelson,Ban Muang,Thailand,M
Frances Peters,Sembalunbumbung,Indonesia,F
Jeffrey Garrett,Kafachan,Nigeria,M
Matthew Foster,Jezzîne,Lebanon,M
Louise Morales,Čačak,Serbia,F
Donna Schmidt,Fort Wayne,United States,F
Jacqueline Henry,Tangdukou,China,F
Jane Bradley,Were,Indonesia,F
Chris Smith,Boka,Serbia,M
Russell Cooper,Santo Antônio de Posse,Brazil,M
Andrea Dean,Vinnytsya,Ukraine,F
Albert Williams,Layu,China,M
Joe Bishop,Shetangpo,China,M
Carolyn Morrison,Shuangxiqiao,China,F
Bruce Ramirez,Dunhou,China,M
Adam Burton,Bukowiec,Poland,M
Pamela Alvarez,Fenyan,China,F
Deborah Mendoza,Ximafang,China,F
Doris Fowler,Groblersdal,South Africa,F
Nicholas Ortiz,Xieji,China,M
Susan Lynch,Urrô,Portugal,F
Carol Hall,Namysłów,Poland,F
Katherine Palmer,Al Hilāliyya,Sudan,F
Joan Ortiz,Akat Amnuai,Thailand,F
Martha Walker,Fort Dauphin,Madagascar,F
Margaret Perry,Tarutung,Indonesia,F
Raymond Garza,Abadiânia,Brazil,M
Benjamin Boyd,Mangarine,Philippines,M
Sharon Hill,Celeirós,Portugal,F
Lisa Johnston,Dmitriyevskoye,Russia,F
Jesse King,Palecenan,Indonesia,M
Jonathan Burke,Yanmenguan,China,M
George Grant,Juhaynah,Egypt,M
Frank Cooper,Papelón,Venezuela,M
Julie Bryant,Sobhādero,Pakistan,F
Earl Berry,Štitar,Croatia,M
Steve Fuller,Beit Jann,Israel,M
Kelly Collins,Huichang,China,F
Teresa Riley,Eaton,United Kingdom,F
Bobby Cunningham,Vrbas,Serbia,M
Gloria Thomas,Jalasenga,Indonesia,F
Michelle Wilson,Doropeti,Indonesia,F
Irene Spencer,Aţ Ţīrah,Palestinian Territory,F
Craig Vasquez,Varybóbi,Greece,M
Ruth Tucker,Paris 10,France,F
Ruby Warren,Lages,Portugal,F
Kathy Murphy,Yongfeng,China,F
Justin Mcdonald,Guandukou,China,M
Betty Brown,Namioka,Japan,F
Kathryn Perkins,Motala,Sweden,F
Alan Lawrence,Bente,Indonesia,M
Doris Howard,Binjiang,China,F
Bobby Mcdonald,Yasenskaya,Russia,M
Alan Fowler,Masape,Indonesia,M
Kathy Alexander,Peuara,Indonesia,F
Linda Sims,San Roque,Philippines,F
Jane Peterson,Luhe,China,F
Susan Gomez,Pariti,Indonesia,F
Norma Green,Utrecht (stad),Netherlands,F
Harold Bryant,Haykashen,Armenia,M
Angela Fox,Livádion,Greece,F
Heather Greene,Tulsa,United States,F
Michelle Fernandez,Eindhoven,Netherlands,F
Larry Lewis,Valuyki,Russia,M
Johnny Porter,Sukarama,Indonesia,M
Elizabeth Hansen,Izingolweni,South Africa,F
Jose Lee,Photharam,Thailand,M
Dennis Ellis,Oesapa,Indonesia,M
Patrick Watkins,Dobrljin,Bosnia and Herzegovina,M
Tina Young,Qiligang,China,F
Angela Medina,Broniszewice,Poland,F
Roy Holmes,Abuochiche,Nigeria,M
Pamela Mills,Néa Pélla,Greece,F
Matthew Welch,Kiloloran,Philippines,M
Gary Rice,Carora,Venezuela,M
Jerry Cooper,Bolo,Philippines,M
Jason Davis,Skidal’,Belarus,M
Margaret Ramos,Itaí,Brazil,F
Keith Daniels,Bichena,Ethiopia,M
Aaron Moore,Tëplaya Gora,Russia,M
Tammy Boyd,Florencia,Colombia,F
Christine Bryant,Palmeira,Brazil,F
Jimmy Ramos,Osekovo,Croatia,M
Debra Fowler,Sandefjord,Norway,F
Terry Vasquez,Évora,Portugal,M
Evelyn Rivera,Dimona,Israel,F
Lori Nichols,Miyazaki-shi,Japan,F
Michelle Clark,Agriá,Greece,F
Carl Gutierrez,Calvinia,South Africa,M
Gary Brown,La Soledad,Mexico,M
Norma Dunn,Kasui,Indonesia,F
Bruce Johnston,Wakaseko,Indonesia,M
Ruby Cruz,Longtanhe,China,F
James Jenkins,Kohāt,Pakistan,M
Martin King,Jenggawah,Indonesia,M
Robert Murray,Ban Thai Tan,Thailand,M
Janice Burke,Lamas,Portugal,F
Timothy Smith,Opuwo,Namibia,M
Teresa Walker,Saint David’s,Grenada,F
Michelle Larson,Karlstad,Sweden,F
Frank Wallace,Banyo,Cameroon,M
Lillian Harrison,Juan L. Lacaze,Uruguay,F
Phyllis Diaz,Mali Iđoš,Serbia,F
Scott Fields,Adamstown,Pitcairn,M
Kelly Stanley,Nantuo,China,F
Doris Spencer,Murovanoye,Ukraine,F
Annie Bailey,Greensboro,United States,F
Jimmy Dean,Carpentras,France,M
Sarah Murphy,Jasper Park Lodge,Canada,F
Anthony Clark,Cauday,Peru,M
Elizabeth King,Bojongaren,Indonesia,F
Todd Simpson,Yên Lạc,Vietnam,M
Margaret Flores,Nyagla,China,F
James Daniels,Garissa,Kenya,M
Betty Oliver,Apalit,Philippines,F
Roger Moreno,Lindome,Sweden,M
Karen Hill,Daingean,Ireland,F
Kimberly Sanders,Chojnów,Poland,F
Kathleen Carr,Bingfang,China,F
Justin Evans,Pandaan,Indonesia,M
Jessica Medina,Hal’shany,Belarus,F
Sean Cook,Topolovgrad,Bulgaria,M
William Peters,Madur,Indonesia,M
Christina Spencer,Wenxing,China,F
Walter Fuller,Jiangjing,China,M
Victor Warren,Mayingzhuang,China,M
Barbara Perry,Liulin,China,F
Russell Myers,Novoishimskiy,Kazakhstan,M
Dennis Thompson,Jianghua,China,M
Margaret Nguyen,Dayr Abū Ḑa‘īf,Palestinian Territory,F
Christine Dunn,San Antonio,Chile,F
Justin Kelly,Kalyny,Ukraine,M
Patrick Tucker,Przemęt,Poland,M
Jennifer Meyer,Liji,China,F
Robert Cole,Sidu,China,M
Julia Olson,Horta,Portugal,F
Robin Boyd,Tubigan,Philippines,F
Brenda James,Sindangan,Philippines,F
Elizabeth Williams,Fartura,Brazil,F
Angela Garza,Beiyang,China,F
Heather Bailey,Polje,Bosnia and Herzegovina,F
Alice Flores,Namp’o,North Korea,F
Rose Lawson,Las Vegas,United States,F
Diana Anderson,Mercaderes,Colombia,F
Russell Elliott,Tieshan,China,M
Donna Bailey,Lyantonde,Uganda,F
Joe Gray,Bil‘īn,Palestinian Territory,M
Cynthia Burns,Xianshui,China,F
Howard Hart,Pallasovka,Russia,M
Nicole Scott,San Ramón,Peru,F
Douglas Nichols,Shijing,China,M
Larry Wells,Stockholm,Sweden,M
Terry Payne,Bojongaren,Indonesia,M
Carol Murphy,Intipucá,El Salvador,F
Kevin Alexander,Raychikhinsk,Russia,M
Janice Martin,Chornukhyne,Ukraine,F
Karen Walker,Tongliao,China,F
Paula Wood,Orléans,France,F
Phyllis Martinez,Mont-Tremblant,Canada,F
Phyllis Davis,Lakeland,United States,F
Bobby Fernandez,Xihu,China,M
Christine Stewart,Vlycháda,Greece,F
Kelly Fox,Paris 15,France,F
Ann Kelly,Puerto Madryn,Argentina,F
Lori Reynolds,Triolet,Mauritius,F
Diane Adams,Gävle,Sweden,F
Anne Gonzalez,Benito Juarez,Mexico,F
Mildred Armstrong,Otra Banda,Dominican Republic,F
Joseph Banks,Koski Tl,Finland,M
Lois Smith,Panjiawan,China,F
Cheryl Coleman,Cidahu,Indonesia,F
Angela Fields,Kuroishi,Japan,F
Janice Hawkins,Zengjia,China,F
Gary Robertson,Västervik,Sweden,M
Evelyn Burke,Las Palmas,Mexico,F
Philip Lane,Ma‘arrat an Nu‘mān,Syria,M
Mark Hunter,Uyugan,Philippines,M
Mark Schmidt,Ishurdi,Bangladesh,M
Amanda Fisher,Songnan,China,F
Gregory Bowman,Petaẖ Tiqwa,Israel,M
George Cole,Dongzaogang,China,M
Denise Rivera,Dagua,Colombia,F
Larry Montgomery,Xiaozhen,China,M
Stephanie Hart,Nurlat,Russia,F
Barbara Burton,Patos Fshat,Albania,F
Martha Griffin,Brooklyn,United States,F
Charles Payne,Yungaisi,China,M
Henry Robinson,Dayuan,China,M
Lillian Armstrong,Stetseva,Ukraine,F
Ruby Hanson,Tinambacan,Philippines,F
Karen Johnson,Niutang,China,F
Frances Medina,Kendari,Indonesia,F
Paul Bennett,Limoges,France,M
William Nelson,Odiongan,Philippines,M
Scott Baker,Malešići,Bosnia and Herzegovina,M
Sean Henderson,Gocoton,Philippines,M
Kelly Cunningham,Macatuba,Brazil,F
Linda Stone,Bystřice nad Pernštejnem,Czech Republic,F
Sandra Mitchell,Semënov,Russia,F
David Weaver,Rízoma,Greece,M
Ralph Bell,Wanmu,China,M
Walter Andrews,Alvalade,Portugal,M
Gregory Jenkins,Vila Pouca da Beira,Portugal,M
Wanda Henry,Lípa,Czech Republic,F
John Rogers,Teculután,Guatemala,M
Melissa Palmer,Lanigan,Canada,F
Anne Jenkins,Suncun,China,F
Lawrence Wagner,Sijunjung,Indonesia,M
Barbara Arnold,Klek,Serbia,F
Angela Wagner,Chiba,China,F
Samuel Black,Caxias,Brazil,M
Walter Shaw,Shanjiang,China,M
Samuel Harris,Shingū,Japan,M
Catherine Mccoy,Piracuruca,Brazil,F
Joan Meyer,Xing’an,China,F
Eric Webb,Cibodas,Indonesia,M
Christina Black,Jiaotang,China,F
Earl Ortiz,Alīpur,Pakistan,M
Betty Young,Novobiryusinskiy,Russia,F
Stephen Fisher,Pierzchnica,Poland,M
Anne Stevens,Thívai,Greece,F
Brenda Kim,Konstantinovo,Russia,F
Samuel Flores,Masons Bay,Bahamas,M
Cheryl Burns,Talaibon,Philippines,F
Anna Mason,Debre Werk’,Ethiopia,F
Linda Olson,Tianfu,China,F
Michelle Miller,Gapluk,Indonesia,F
Lillian Franklin,Purut,Indonesia,F
Stephen Gonzales,Shizukuishi,Japan,M
Roger Meyer,Guling,China,M
Adam Perry,Itumbiara,Brazil,M
Irene Arnold,Bazar-Korgon,Kyrgyzstan,F
Fred Robinson,Bentiu,South Sudan,M
Lillian Ruiz,Ji’an,China,F
Janice Perkins,Dolna Banjica,Macedonia,F
Michael Cox,Vetlanda,Sweden,M
Louis Hawkins,Santa Cecília,Brazil,M
Doris Mills,Daleman,Indonesia,F
Justin Woods,Houjie,China,M
Teresa Rivera,Mamedkala,Russia,F
Brandon Richardson,Qadsīyā,Syria,M
Justin Nguyen,Kongsvinger,Norway,M
Brandon Carpenter,Toktogul,Kyrgyzstan,M
Emily Brown,Kaustinen,Finland,F
Lillian Stanley,Tembol,Indonesia,F
Phyllis Lewis,Kota Kinabalu,Malaysia,F
Ronald Morales,Yongfu,China,M
Joseph Edwards,Nova Odessa,Brazil,M
Larry Carr,Trondheim,Norway,M
Virginia Stone,Ananindeua,Brazil,F
Carolyn Gonzalez,Puqian,China,F
Craig Howell,Muhos,Finland,M
Jeremy Mills,Pedregulho,Brazil,M
Robert Carr,Victoria,El Salvador,M
Kevin Vasquez,Woodford Hill,Dominica,M
Gloria Collins,Wanshan,China,F
Julia Wright,Ferme-Neuve,Canada,F
Marie Phillips,Los Juríes,Argentina,F
Dorothy Burke,La Colorada,Panama,F
Shirley Bradley,Aromashevo,Russia,F
Carol Mills,Longba,China,F
Carol Banks,Al Manşūrah,Egypt,F
Virginia Palmer,Bécancour,Canada,F
Fred Mills,Hedong,China,M
Lois Webb,Trashigang,Bhutan,F
Peter Bishop,Stąporków,Poland,M
Ralph Hall,Sāh,Yemen,M
Ashley Hall,Kungsör,Sweden,F
David Murphy,Vis,Croatia,M
Michael Day,Ruteng,Indonesia,M
Martin Elliott,Aristóbulo del Valle,Argentina,M
Aaron Ross,Fayzabad,Afghanistan,M
Dorothy Black,Pittsburgh,United States,F
Louise Hart,Christchurch,New Zealand,F
Johnny Woods,Mentaraman Satu,Indonesia,M
Justin Washington,Aguada de Pasajeros,Cuba,M
Rose Armstrong,Karanggeneng,Indonesia,F
Nicholas Berry,Lons-le-Saunier,France,M
John Wilson,Mourelos,Portugal,M
Rebecca Ross,Teluk Pinang,Indonesia,F
Bruce Kelley,Lynn,United States,M
Gerald Little,Xintian,China,M
Marie Mcdonald,Zhangwan,China,F
Joseph Reed,Tangkanpulit,Indonesia,M
Fred Gray,San Jose,United States,M
Dennis Morales,Jimaguayú,Cuba,M
Lois Jenkins,Wantan,China,F
Maria Nguyen,Žabčice,Czech Republic,F
Raymond Ramirez,Giedlarowa,Poland,M
Jane Murphy,Pasonobenu,Indonesia,F
Daniel Allen,Khvatovka,Russia,M
Heather Elliott,Luobuqiongzi,China,F
Joyce Chavez,København,Denmark,F
Charles Olson,Benoy,Chad,M
Stephanie Burke,Xintai,China,F
Emily Russell,Bechlín,Czech Republic,F
Kathryn Garrett,Sacramento,United States,F
Larry Fernandez,Fontem,Cameroon,M
Earl Vasquez,Stepojevac,Serbia,M
Walter Dixon,Gaplek,Indonesia,M
Raymond Myers,Kusak,Russia,M
Gerald Carroll,Colosó,Colombia,M
Marilyn Burke,Krajan Demit,Indonesia,F
Charles Fernandez,Estevan,Canada,M
Aaron Freeman,Longxing,China,M
Michelle Oliver,Wat Sing,Thailand,F
Doris Stone,Mendes,Brazil,F
Dennis Bradley,Dayeuhluhur,Indonesia,M
Jimmy Burke,Carnot,Central African Republic,M
Rachel Boyd,Az Zintān,Libya,F
Barbara Peters,Balabag,Philippines,F
Michelle Sullivan,Głuchów,Poland,F
Patricia Grant,General Luna,Philippines,F
Evelyn Wagner,Huolongping,China,F
William Reid,Qaşr Hallāl,Tunisia,M
Ann Mitchell,Rimpakgede,Indonesia,F
Joe Washington,Bol,Chad,M
Harold Perez,Capioví,Argentina,M
William Kennedy,Abóboda,Portugal,M
Michelle Coleman,Mayong,China,F
Jonathan George,Nyazepetrovsk,Russia,M
Sarah Woods,Särevere,Estonia,F
Jacqueline Stanley,Hetian,China,F
Lillian Hudson,Warungawi,Indonesia,F
Teresa Bennett,Furukawa,Japan,F
Bruce Howard,Gueset,Philippines,M
Todd Mendoza,Dongba,China,M
Diane Daniels,Togu,Indonesia,F
Jean Miller,Tong’an,China,F
Nicole Allen,Utajärvi,Finland,F
Nancy Parker,Marly-le-Roi,France,F
Joe Pierce,Mount Ayliff,South Africa,M
Jacqueline Little,Sumberejo,Indonesia,F
Bonnie Rogers,Daszewice,Poland,F
Clarence Little,Rubizhne,Ukraine,M
Denise Griffin,Simunul,Philippines,F
Andrew Fields,Nijmegen,Netherlands,M
Jacqueline Graham,Kananya,Philippines,F
Carl Peterson,Delong,China,M
Denise Ford,Zhushan Chengguanzhen,China,F
Lori Hill,Xiaoying,China,F
Heather Smith,Lāchi,Pakistan,F
Jennifer Sanchez,Alençon,France,F
Anne Fernandez,Kagadi,Uganda,F
Dorothy Bell,Hostavice,Czech Republic,F
Carol James,Mała Wieś,Poland,F
Phyllis Griffin,Los Frentones,Argentina,F
Andrew Payne,Baiima,Sierra Leone,M
Carl Torres,Slovenski Javornik,Slovenia,M
Jeffrey Carpenter,Mababanaba,Philippines,M
Jennifer Taylor,Krajan,Indonesia,F
Brian Mccoy,Gunjur Kuta,Gambia,M
Benjamin Montgomery,Oguma,Nigeria,M
Julie Fields,Trajouce,Portugal,F
William Berry,Nouâdhibou,Mauritania,M
Catherine Lynch,Palkino,Russia,F
Johnny Armstrong,Lanchkhuti,Georgia,M
Maria Chapman,San Pedro,Philippines,F
Samuel Green,Saint-Quentin-en-Yvelines,France,M
Philip Gonzalez,Boundiali,Ivory Coast,M
Stephen Parker,Op,Indonesia,M
Brenda West,Krajan Dukuhseti,Indonesia,F
Kevin Hudson,Xintang,China,M
Janice Bailey,Roczyny,Poland,F
Craig Hughes,Vlycháda,Greece,M
Stephanie Jordan,Jasień,Poland,F
Timothy Perkins,Rattanaburi,Thailand,M
James Harris,Taunan,Indonesia,M
Amanda Meyer,La Playosa,Argentina,F
Jeffrey Foster,Xianghu,China,M
Debra Franklin,Montreuil,France,F
Willie Lynch,Jinli,China,M
Cheryl Smith,Semerak,Indonesia,F
Antonio Chavez,Petushki,Russia,M
Aaron Gardner,Veliko Tŭrnovo,Bulgaria,M
Maria George,Panalanoy,Philippines,F
Willie White,Asbest,Russia,M
Jack Oliver,Concord,Canada,M
George Jordan,Medellín,Colombia,M
David Reid,Mor Laok,Indonesia,M
Joyce Wood,Wilanagara,Indonesia,F
Kimberly Freeman,Siaya,Kenya,F
Martin Nguyen,Tangwang,China,M
Harold Morgan,Sabanalarga,Colombia,M
Tina Perez,Iwaki,Japan,F
Alan Hart,Malata,Indonesia,M
Sean Cox,Zebrzydowice,Poland,M
Rose Ferguson,Tân Trụ,Vietnam,F
Pamela Ramirez,Cluses,France,F
Amy Morrison,Lazaro Cardenas,Mexico,F
Jack Reynolds,Yoichi,Japan,M
Christopher Gutierrez,Yilongyong,China,M
Juan Edwards,Georgetown,Saint Vincent and the Grenadines,M
Carol Watson,Misungwi,Tanzania,F
Frances Lewis,Khombole,Senegal,F
Cheryl Kennedy,Guaitarilla,Colombia,F
Cheryl Fox,Bal’shavik,Belarus,F
Justin Alvarez,Lamawalang,Indonesia,M
Matthew Dixon,Ros’,Belarus,M
Christine Rodriguez,Heidelberg,South Africa,F
Sandra Marshall,Perštejn,Czech Republic,F
Jack Ferguson,Chrysó,Greece,M
Fred Bowman,Lapai,Nigeria,M
Barbara Gonzales,Soljani,Croatia,F
Christina Dean,Xiaomian,China,F
Brenda Hansen,Guanajay,Cuba,F
Ryan Murray,Zhaoguli,China,M
Annie Wilson,Sinyavino,Russia,F
Debra Morgan,Jiuxian,China,F
Melissa Sullivan,Erátyra,Greece,F
Jeremy Howard,Padabeunghar,Indonesia,M
Patricia Dunn,Mingguang,China,F
Julie Snyder,Kandy,Sri Lanka,F
Brian Torres,Vimmerby,Sweden,M
Cheryl Black,Severnoye,Russia,F
Rebecca Wagner,Yenangyaung,Myanmar,F
Larry Wright,Deqing,China,M
Julie Rice,Mulyadadi,Indonesia,F
Teresa Mitchell,Tsaghkaber,Armenia,F
Marie Carter,Jieshou,China,F
Lois Torres,Lyuban’,Belarus,F
Victor Fernandez,Paris 16,France,M
Johnny Lee,Pensilvania,Colombia,M
Kevin Cruz,Lembur Tengah,Indonesia,M
Douglas Smith,Kungsbacka,Sweden,M
Teresa Ford,Danao,Philippines,F
Eric Patterson,Sacapulas,Guatemala,M
Wanda Rose,Guanqiao,China,F
Christine Washington,Bartsrashen,Armenia,F
Lori Snyder,Rosario de Mora,El Salvador,F
Antonio Long,Rakek,Slovenia,M
Mark Black,Motala,Sweden,M
Harry Lane,Peuhaq,Indonesia,M
Amanda Carter,Jomboy,Uzbekistan,F
Gary Burton,Cabrela,Portugal,M
Ashley Ford,Ringim,Nigeria,F
Jack Weaver,Lianovérgi,Greece,M
Laura Elliott,Ryazan’,Russia,F
Tina Mccoy,Sovetskoye,Russia,F
Louise Bennett,Chyňava,Czech Republic,F
Andrew Boyd,Paobokol,Indonesia,M
Angela Morris,Lahān,Nepal,F
